tpsaEfficiency	TopoPSA	nHBDon	nHBAcc	PPSA.1	PPSA.2	PPSA.3	PNSA.1	PNSA.2	PNSA.3	DPSA.1	DPSA.2	DPSA.3	FPSA.1	FPSA.2	FPSA.3	FNSA.1	FNSA.2	FNSA.3	WPSA.1	WPSA.2	WPSA.3	WNSA.1	WNSA.2	WNSA.3	RPCG	RNCG	RPCS	RNCS	THSA	TPSA	RHSA	RPSA	bpol	apol
aceclofenac	0.21423584089579	75.63	2	5	304.472557110717	623.252259776247	25.9305734018848	266.802063213218	-546.141137935582	-43.9363191996542	37.6704938974987	1169.39339771183	69.8668926015391	0.532970564906365	1.09098538181661	0.045390732371729	0.467029435093635	-0.956004552811918	-0.0769092790692165	173.937444462482	356.04819806971	14.8134784749437	152.417247363774	-311.996571217431	-25.0997040692137	0.139515547123464	0.16107410496365	0.605485462421635	3.92206252752162	431.035773225863	140.238847098072	0.754515880613511	0.245484119386489	19.543691	45.496309
acemetacin	0.228460736585513	94.83	1	5	429.760384783276	1032.98487811192	35.7070593211975	338.126819324912	-812.731707281152	-65.5853130941483	91.6335654583635	1845.71658539308	101.292372415346	0.559666032307952	1.34522996683037	0.0465003963214456	0.440333967692048	-1.05839985733978	-0.0854100872410265	330.007500307689	793.215869939402	27.4189939490796	259.643257925401	-624.086278394198	-50.3621227024257	0.118814851528284	0.145044713310231	3.81877132469615	2.8460583350503	530.721322467686	237.165881640502	0.691144896839448	0.308855103160552	28.783726	57.054274
acenocoumarol	0.302302582867264	106.74	1	3	330.925519927183	617.771952384081	22.9537386760664	298.271650442384	-556.81368990569	-41.7562212280303	32.6538694847987	1174.58564228977	64.7099599040968	0.525948836884962	0.981841593504346	0.0364809947612833	0.474051163115038	-0.884958986033963	-0.0663642864183644	208.217400741261	388.700364373746	14.4424274243835	187.671678459809	-350.345598111698	-26.2728962420023	0.159194807612826	0.192539739890662	1.52697091572109	0.723797341458521	515.815586155031	113.381584214535	0.819799596129876	0.180200403870125	21.486105	49.353895
acepromazine	0.149779875251764	48.85	0	3	431.407201107303	572.304769063892	20.1640603180305	188.521043749544	-250.092006183111	-20.1673966131395	242.886157357759	822.396775247003	40.33145693117	0.695898605502196	0.923179051465945	0.0325264423508995	0.304101394497805	-0.403420893075879	-0.0325318240948944	267.441509001055	354.787891008981	12.5002705221442	116.869519770235	-155.039098445824	-12.5023387857155	0.120270018247717	0.233003038942849	0.699731028703701	0.288225250191487	577.470642797439	42.4576020594075	0.931512070289342	0.0684879297106583	31.248554	54.011446
aceprometazine	0.149779875251764	48.85	0	3	429.584324694981	576.068419467427	20.0729288558289	176.62911744554	-236.85793607815	-19.2993778851645	252.955207249441	812.926355545577	39.3723067409934	0.708635432395118	0.950273252657261	0.033111982447885	0.291364567604882	-0.390717063682738	-0.0318359451367806	260.419792162956	349.220419473799	12.1684792955338	107.074945268903	-143.586464728235	-11.6995422989362	0.118979382335122	0.227585242285012	0.718414296174474	0	563.443300699467	42.7701414410544	0.929447058629986	0.0705529413700138	31.248554	54.011446
acetaminophen	0.510798362684364	137.95	4	5	409.658871464358	820.051963580395	46.4190863396445	249.049618532406	-498.545602042984	-58.8138797885405	160.609252931952	1318.59756562338	105.232966128185	0.621912238396032	1.24493911348315	0.0704698467449123	0.378087761603968	-0.756853159802803	-0.0892866581829382	269.845776636066	540.175190648923	30.5766462698167	164.051098157751	-328.396220716262	-38.7412019463607	0.13806391647176	0.179599458871764	3.4301199507067	4.18389714117688	360.577703987478	298.130786009286	0.547401027105707	0.452598972894293	19.500898	37.003102
acetate	0.134083569221458	26.3	0	2	372.135950609269	344.642332140233	12.3753116483146	62.6769987339127	-58.0463859507264	-12.5353465497578	309.458951875357	402.68871809096	24.9106581980724	0.855852961995288	0.792622051990038	0.0284612306671374	0.144147038004712	-0.133497371774253	-0.0288292852563232	161.809530241045	149.854948906407	5.38094575684472	27.2527706754714	-25.239320273948	-5.45053100433907	0.279219698879242	0.3370648138734	2.09867883476399	1.90064619635915	385.375832873665	49.4371164695167	0.88630256632376	0.11369743367624	24.73814	36.05986
acetazolamide	0.683189675943911	151.66	2	7	218.492500344491	304.592871817198	21.3579861290823	278.902504548373	-388.80837870159	-51.3012336031143	-60.4100042038821	693.401250518788	72.6592197321966	0.439273611908412	0.612376217736255	0.0429396876104188	0.560726388091587	-0.781689351273919	-0.103139824683532	108.677078277902	151.502972967846	10.6233556151766	138.72471261447	-193.391345426664	-25.516977339031	0.189470452650749	0.201170615772515	0.603175501881524	10.6962497496244	281.049104084939	216.345900807924	0.56504207183479	0.43495792816521	17.593242	23.646758
acetic_acid	0.621447820005305	37.3	1	2	303.582275567582	181.567029302775	27.4978810259296	153.301728432623	-91.6869714032292	-46.5669599162182	150.280547134959	273.254000706004	74.0648409421478	0.664462473865567	0.397402902515916	0.0601856943670044	0.335537526134433	-0.200678882605809	-0.101922937788378	138.701885604811	82.9550713422746	12.563341984648	70.041107506449	-41.8903106093597	-21.2756991006388	0.427565037371739	0.554666188006633	23.9748310605108	48.6524909529291	217.180001838683	239.704002161522	0.475350417036236	0.524649582963764	5.330828	7.791172
acetohexamide	0.310754495324207	100.72	2	6	403.19187026202	709.005562464556	18.4237868042402	229.160956297	-402.975369043731	-41.0851656795073	174.03091396502	1111.98093150829	59.5089524837475	0.637605863890906	1.12121830200815	0.0291352960411266	0.362394136109094	-0.63726348980923	-0.0649719016882938	254.959518805806	448.341671470529	11.6503336615821	144.910578451376	-254.822613648468	-25.9803206470821	0.162472573484754	0.167190123535753	0.429201640159267	7.46109013777449	472.630492684315	159.722333874705	0.747415798322842	0.252584201677159	31.57614	48.04386
acetone	0.125558672762794	17.07	0	1	298.977191611272	130.820567229355	17.6346275929557	216.797962900806	-94.8621944302951	-33.5853131722848	82.1792287104656	225.68276165965	51.2199407652405	0.579665749689132	0.253638753408179	0.0341905332947609	0.420334250310868	-0.183921605374796	-0.0651161904145158	154.205007198891	67.4739982760781	9.09550277151967	111.819002813067	-48.9275629896402	-17.3224700907717	0.334307095624594	0.68096067974221	10.2716966620871	48.850934336359	444.036894448586	71.7382600634921	0.8609117569237	0.1390882430763	7.714035	12.465965
acetylcarnitine	0.32705488065653	66.43	0	4	344.312500722598	514.846567818278	27.3731255969402	147.982832083017	-221.277046386859	-34.4834996894141	196.329668639582	736.123614205137	61.8566252863543	0.699402325755039	1.04580834614893	0.0556030572968049	0.30059767424496	-0.4494802847831	-0.0700463672748855	169.503437132365	253.456562447928	13.4756619756756	72.8512575698261	-108.933657193262	-16.9760659559024	0.239511006384592	0.233178441438658	7.42684598622603	0	306.291081108217	186.004251697398	0.622169378211751	0.377830621788249	26.014519	31.483481
acetylcholine	0.179991385904089	26.3	0	2	396.281184547209	398.589375969622	20.5990171443582	81.0828128743627	-81.5550902886829	-15.70242578898	315.198371672847	480.144466258305	36.3014429333382	0.83014468348614	0.83497996942073	0.0431515934499072	0.16985531651386	-0.170844660948864	-0.0328940302867307	189.170370358412	190.272217842629	9.83322916698634	38.7060156758911	-38.9314639102829	-7.49577274384308	0.256863535345545	0.346880254835336	6.32508323603649	0	399.74053620774	77.6234612138317	0.837391463048939	0.162608536951061	23.005312	25.692688
