Wlambda1.unity	Wlambda2.unity	Wlambda3.unity	Wnu1.unity	Wnu2.unity	Wgamma1.unity	Wgamma2.unity	Wgamma3.unity	Weta1.unity	Weta2.unity	Weta3.unity	WT.unity	WA.unity	WV.unity	WK.unity	WG.unity	WD.unity	BCUTw.1l	BCUTw.1h	BCUTc.1l	BCUTc.1h	BCUTp.1l	BCUTp.1h
acetaminophen	0.74780865539693	2.47672593292428	13.0684756190909	0.0458975134660342	0.152011562099038	NA	NA	NA	0.456521180565027	0.365000658692269	0.581253261514899	16.2930102074121	43.9918687400779	84.4892259777637	0.351568193326196	NA	1.4027751007722	11.988552893215	31.9720719145409	-0.359636259476669	0.34840154832057	4.2588172959909	11.29963101371
acetate	1.6034536742053	1.70237333137901	6.03460940424268	0.171667961094229	0.182258435975	NA	NA	NA	0.413158551976971	0.4615406114722	0.382936488188689	9.34043640982699	22.6790515097673	48.4920210448981	0.234555202198078	NA	1.25763565163786	11.9885323601885	16.0060263382164	-0.339845251544659	0.332341167302451	4.05278780799616	10.7732925507439
acetazolamide	0.299019715526285	1.04211636836416	11.8033294711234	0.022748716125033	0.0792817603730303	NA	NA	NA	0.259304853802778	0.51827440910075	0.623846121854222	13.1444655550138	16.1414844037846	32.9640248785754	0.423477142626452	NA	1.40142538475775	11.9886370882847	31.9730722235917	-0.280522655880464	0.264280365395006	4.46438699534553	12.1936599521496
acetic_acid	0.204903524965409	0.823073986544204	1.40743567067789	0.0841350151440683	0.337960717534145	NA	NA	NA	0.247988649771347	0.366039786065768	0.573972120623484	2.4354131821875	1.61546297950356	4.28824125882088	0.18342820049134	NA	1.1880005564606	11.89	15.9959156493584	-0.33175460819152	0.299294789268904	3.09299594374919	4.42162940896254
acetohexamide	0.95249814262651	2.67179327839428	17.8287664161731	0.0443991784227203	0.124541373014065	NA	NA	NA	0.492536722966799	0.458221976715548	0.600916567179695	21.4530578371939	67.1615233046722	133.986618971127	0.373294586422411	NA	1.55167526686204	11.9	31.9720721143888	-0.294118279208902	0.285817314028226	4.59252881304911	11.5134381624705
acetone	0.476060260897087	0.689161253611957	2.23524967129096	0.139998322257534	0.202666400024155	NA	NA	NA	0.390412735306778	0.315755363023531	0.621186908986	3.4004711858	2.93264329348216	7.06646030165519	0.243001458288733	NA	1.32735500731631	11.9988792200498	78.9185179628468	-0.297973447997651	0.146444819304983	4.26474795827928	7.77975976297375
acetylcarnitine	1.11463175045523	3.06177579345256	4.46769315382374	0.128947103860989	0.354204086754341	NA	NA	NA	0.512684932067344	0.47265443041395	0.537686539182996	8.64410069773153	22.0716599036521	45.9628916356444	0.137636607038503	NA	1.52302590166429	11.89	15.9979257133123	-0.348743753696258	0.358196863658814	3.85266799461154	9.17929289584107
acetylcholine	1.03548644521247	1.16049932255698	6.61328930998203	0.11754502340694	0.131736075024824	NA	NA	NA	0.40599903171368	0.445372219279406	0.465967580811044	8.80927507775148	15.7243705210484	32.4807118143645	0.313039176176177	NA	1.31733883180413	11.89	15.9959191641431	-0.34895750117002	0.301638699700096	3.76266823027064	8.67028545924837
acetylcysteine	0.716278499394024	1.95065602347182	4.32445136760507	0.102451575498113	0.279008490452589	NA	NA	NA	0.390006585499492	0.402212426943912	0.541059817223184	6.99138589047091	12.9302416140467	25.9638070405563	0.213904950536974	NA	1.33327882966659	11.9945913082369	31.9720714945407	-0.330442155921933	0.277026440875636	4.26890926446841	9.14735405618511
acetyldigitoxin	2.05643596936559	2.99341299453936	68.0469527351671	0.0281330498950093	0.0409513538890903	NA	NA	NA	0.393577349290384	0.419781700181898	0.581302236589348	73.096801699072	349.78259591971	841.760253902232	0.448186697161925	NA	1.39466128606163	11.9	16.0080665883599	-0.390553752839124	0.286587860967267	4.01522927191259	12.8371704576776
acipimox	0.0962587968167805	1.70042105146613	5.52014348867211	0.0131558180898816	0.232398812047002	NA	NA	NA	0.117647059264882	0.473790188096903	0.563441089004799	7.31682333695502	10.0816110502233	18.3019741478919	0.315834027397337	NA	1.15487833636658	11.9885532741608	15.9969222682377	-0.326581616987447	0.310642977286394	3.99807094818043	7.74541290855024
acitretin	1.20769797381813	2.59083012654773	24.4891803271301	0.0426933831318848	0.0915885474847941	NA	NA	NA	0.315760693923402	0.38142917647942	0.517396209946197	28.287708427496	96.1517799218694	201.064671450249	0.399288552037491	NA	1.21458608034902	11.9961462351353	15.9987113938407	-0.377230134936921	0.283656092953381	4.00692258761207	10.8586231276751
