topoShape	geomShape	MOMI.X	MOMI.Y	MOMI.Z	MOMI.XY	MOMI.XZ	MOMI.YZ	MOMI.R	LOBMAX	LOBMIN	GRAV.1	GRAV.2	GRAV.3	GRAVH.1	GRAVH.2	GRAVH.3	GRAV.4	GRAV.5	GRAV.6	PPSA.1	PPSA.2	PPSA.3	PNSA.1	PNSA.2	PNSA.3	DPSA.1	DPSA.2	DPSA.3	FPSA.1	FPSA.2	FPSA.3	FNSA.1	FNSA.2	FNSA.3	WPSA.1	WPSA.2	WPSA.3	WNSA.1	WNSA.2	WNSA.3	RPCG	RNCG	RPCS	RNCS	THSA	TPSA	RHSA	RPSA
acarbose	1	0.903215217735015	23023.8192738192	22009.9991812785	2466.59992478163	1.04606179601329	9.33423334789793	8.92321408111088	10.2424985619941	3.06596867674342	3.06596867674342	3716.33080184056	60.9617158702128	15.4895257738494	4219.62653279417	64.9586524859788	16.1593791689498	10585.6731265117	102.886700435536	21.9569911306614	678.539376379775	4844.81454679393	89.6367657306636	307.38382357166	-2194.74016059992	-114.451507029866	371.155552808116	7039.55470739385	204.088272760529	0.688227416104215	4.91398777007436	0.0909165802519699	0.311772583895785	-2.2260761900197	-0.116085621106698	668.987713253399	4776.61506114633	88.374966902473	303.056842949078	-2163.8452422006	-112.840396050149	0.0298346555939631	0.0550385609919576	1.32264739704352	0.937326566086913	380.658338805219	605.264861146216	0.386093296946425	0.613906703053575
acebutolol	0.875	0.809607717385956	6875.58791204559	5974.45757706425	1368.05259365693	1.15083048517086	5.02582133459251	4.36712565347652	8.46128636128382	2.33931645483967	2.33931645483967	1847.59243721958	42.9836298748673	12.2706826771277	2133.40117186292	46.1887559029567	12.8733282461708	4033.00284895688	63.5059276678712	15.9175482967253	566.43075896349	1223.91438590305	32.4307446354799	172.97078188782	-373.746349299239	-36.5749866794495	393.45997707567	1597.66073520229	69.0057313149294	0.766066511453749	1.65527702916861	0.043860802072634	0.233933488546251	-0.505471423374269	-0.049465661969461	418.819775963181	904.964182806799	23.9793425544292	127.89486265011	-276.348626559409	-27.0436015074011	0.0974047814198283	0.18007866876529	2.28192607949959	4.45148247824451	589.673308612298	149.728232239012	0.797500784125197	0.202499215874803
aceclofenac	1	0.66881754844541	3529.59950967398	2479.58663301276	1900.03557981974	1.42346287186805	1.85764916571132	1.30502115820799	6.74057048237406	1.10382280557592	1.10382280557592	2038.13611837084	45.1457209309015	12.6787876584802	2177.1864405135	46.6603304801144	12.9608019283568	5192.06441824804	72.0559811413879	17.3159646568125	304.472557110717	623.252259776247	25.9305734018848	266.802063213218	-546.141137935582	-43.9363191996542	37.6704938974987	1169.39339771183	69.8668926015391	0.532970564906365	1.09098538181661	0.045390732371729	0.467029435093635	-0.956004552811918	-0.0769092790692165	173.937444462482	356.04819806971	14.8134784749437	152.417247363774	-311.996571217431	-25.0997040692137	0.139515547123464	0.16107410496365	0.605485462421635	3.92206252752162	431.035773225863	140.238847098072	0.754515880613511	0.245484119386489
acemetacin	1	0.641752267732631	7003.86923304263	6455.35690292619	2706.27094853602	1.08497010132279	2.58801478722278	2.38533281614625	8.66944049336527	1.41164139923483	1.41164139923483	2599.68838789257	50.9871394362595	13.7501393050659	2784.36146995947	52.7670490927764	14.0683081279242	6114.19744952879	78.1933337921385	18.285765802695	429.760384783276	1032.98487811192	35.7070593211975	338.126819324912	-812.731707281152	-65.5853130941483	91.6335654583635	1845.71658539308	101.292372415346	0.559666032307952	1.34522996683037	0.0465003963214456	0.440333967692048	-1.05839985733978	-0.0854100872410265	330.007500307689	793.215869939402	27.4189939490796	259.643257925401	-624.086278394198	-50.3621227024257	0.118814851528284	0.145044713310231	3.81877132469615	2.8460583350503	530.721322467686	237.165881640502	0.691144896839448	0.308855103160552
acenocoumarol	1	0.832756678426564	4588.23551510327	4155.56732169392	1510.76338340215	1.10411771965542	3.03703118933875	2.75064074715382	7.3862268288632	1.75446114656442	1.32896001990695	2311.39465799312	48.0769659815708	13.2218238958039	2467.37868251739	49.6727156748792	13.5127975262296	5381.91479351998	73.3615348361795	17.5244987959601	330.925519927183	617.771952384081	22.9537386760664	298.271650442384	-556.81368990569	-41.7562212280303	32.6538694847987	1174.58564228977	64.7099599040968	0.525948836884962	0.981841593504346	0.0364809947612833	0.474051163115038	-0.884958986033963	-0.0663642864183644	208.217400741261	388.700364373746	14.4424274243835	187.671678459809	-350.345598111698	-26.2728962420023	0.159194807612826	0.192539739890662	1.52697091572109	0.723797341458521	515.815586155031	113.381584214535	0.819799596129876	0.180200403870125
acepromazine	1	0.655039150379883	4190.43144806063	2773.29908480898	2171.29201359031	1.51099153748477	1.92992532641043	1.27725753489197	7.5175552268665	1.24912571537702	1.10966070276784	1958.80851974219	44.2584287988422	12.5121131001494	2176.28194774257	46.6506371633075	12.9590068630675	4327.07484576561	65.7805050586085	16.2953916310626	431.407201107303	572.304769063892	20.1640603180305	188.521043749544	-250.092006183111	-20.1673966131395	242.886157357759	822.396775247003	40.33145693117	0.695898605502196	0.923179051465945	0.0325264423508995	0.304101394497805	-0.403420893075879	-0.0325318240948944	267.441509001055	354.787891008981	12.5002705221442	116.869519770235	-155.039098445824	-12.5023387857155	0.120270018247717	0.233003038942849	0.699731028703701	0.288225250191487	577.470642797439	42.4576020594075	0.931512070289342	0.0684879297106583
aceprometazine	0.8	0.861891391653156	3196.57651536207	2690.13253820486	1523.88778946615	1.18825986079302	2.09764559927466	1.76530880869336	6.73984085515551	1.48483630713176	1.48483630713176	1954.64974598627	44.2114209903535	12.5032519453521	2172.32975420021	46.6082584334601	12.9511574606833	4587.40672955975	67.7303973822666	16.6158443697541	429.584324694981	576.068419467427	20.0729288558289	176.62911744554	-236.85793607815	-19.2993778851645	252.955207249441	812.926355545577	39.3723067409934	0.708635432395118	0.950273252657261	0.033111982447885	0.291364567604882	-0.390717063682738	-0.0318359451367806	260.419792162956	349.220419473799	12.1684792955338	107.074945268903	-143.586464728235	-11.6995422989362	0.118979382335122	0.227585242285012	0.718414296174474	0	563.443300699467	42.7701414410544	0.929447058629986	0.0705529413700138
acetaminophen	1	0.869499933052881	3693.70287002701	3295.4519055883	728.165457979765	1.12084866532671	5.07261478768148	4.52569106303292	6.93934205999161	1.71362839608145	1.71362839608145	1542.86978717874	39.2793811964845	11.5551722795477	1701.48121499766	41.2490147154772	11.9382971977448	3242.59899154287	56.9438231201846	14.8012279714354	409.658871464358	820.051963580395	46.4190863396445	249.049618532406	-498.545602042984	-58.8138797885405	160.609252931952	1318.59756562338	105.232966128185	0.621912238396032	1.24493911348315	0.0704698467449123	0.378087761603968	-0.756853159802803	-0.0892866581829382	269.845776636066	540.175190648923	30.5766462698167	164.051098157751	-328.396220716262	-38.7412019463607	0.13806391647176	0.179599458871764	3.4301199507067	4.18389714117688	360.577703987478	298.130786009286	0.547401027105707	0.452598972894293
acetate	1	0.950097869080407	1203.45536283367	1167.41550933821	380.828663740841	1.03087148766414	3.16009659307745	3.06546124409545	5.09988814532838	1.66649574708079	1.53967529534479	1038.05852103369	32.2189155781768	10.1252855351145	1232.74010300377	35.1103987873076	10.7223630547364	2189.3981736217	46.7910052640644	12.9849889330396	372.135950609269	344.642332140233	12.3753116483146	62.6769987339127	-58.0463859507264	-12.5353465497578	309.458951875357	402.68871809096	24.9106581980724	0.855852961995288	0.792622051990038	0.0284612306671374	0.144147038004712	-0.133497371774253	-0.0288292852563232	161.809530241045	149.854948906407	5.38094575684472	27.2527706754714	-25.239320273948	-5.45053100433907	0.279219698879242	0.3370648138734	2.09867883476399	1.90064619635915	385.375832873665	49.4371164695167	0.88630256632376	0.11369743367624
acetazolamide	0.75	0.9871001401095	1836.31861987086	1666.30414719009	273.142041154646	1.10203087651643	6.72294390167197	6.1005041191981	5.16380892693953	2.24350688940373	2.24350688940373	1641.54922789233	40.5160366755231	11.79644925218	1709.23544746929	41.3429008110134	11.9564053531579	3044.69439885042	55.1787495223516	14.4937656890911	218.492500344491	304.592871817198	21.3579861290823	278.902504548373	-388.80837870159	-51.3012336031143	-60.4100042038821	693.401250518788	72.6592197321966	0.439273611908412	0.612376217736255	0.0429396876104188	0.560726388091587	-0.781689351273919	-0.103139824683532	108.677078277902	151.502972967846	10.6233556151766	138.72471261447	-193.391345426664	-25.516977339031	0.189470452650749	0.201170615772515	0.603175501881524	10.6962497496244	281.049104084939	216.345900807924	0.56504207183479	0.43495792816521
