target_uniprot_id	compound_bindingdb_id	pEC50
P10275	50219543	8.268
P10275	50219545	7.745
P10275	50219546	6.642
P10275	50219547	6.391
P10275	50219542	6.387
P10275	50219548	6.523
P10275	50219549	6.721
P10275	50219555	6.559
P10275	50219558	7.456
P10275	50219557	7.699
P10275	50219537	7.367
P10275	50219560	6.377
P10275	50219541	6.405
P10275	50219552	8.456
P10275	50243394	5.745
P10275	50145860	7.131
P10275	50145861	8.31
P10275	50145862	10.4
P10275	50145863	9.302
P10275	50367916	10.886
P10275	50180693	8.538
P10275	50180694	8.252
P10275	50180695	9.6
P10275	50180700	9.3
P10275	50180707	8.229
P10275	50180760	8
P10275	50180761	7.699
P10275	50180762	8.602
P10275	50180791	8.699
P10275	50180792	8.699
P10275	50180793	8.886
P10275	50180794	8.886
P10275	50180795	7.796
P10275	50180796	7.102
P10275	50180797	8.398
P10275	50180798	7.102
P10275	50180799	9.7
P10275	50180800	9.1
P10275	50180801	8.699
P10275	50180802	7.699
P10275	50180803	8.495
P10275	50180804	8.495
P10275	50180805	9.2
P10275	50180806	9.7
P10275	50180807	9.1
P10275	50180808	8.602
P10275	50180809	7.201
P10275	50180810	8.495
P10275	50180811	8.796
P10275	50180812	9.4
P10275	50180813	6.801
P10275	50180814	8.398
P10275	50180815	7.699
P10275	50180816	8.796
P10275	50180817	7.886
P10275	50180818	5.6
P10275	50180819	7.398
P10275	50180820	7.495
P10275	50180821	7.886
P10275	50180822	8.796
P10275	50180823	9.8
P10275	50180824	5
P10275	50180825	8.102
P10275	50180826	8.398
P10275	50180827	7.796
P10275	50180828	9.7
P10275	50180829	10.5
P10275	50180830	9.6
P10275	50180831	8.796
P10275	50180832	8.398
P10275	50180833	7.796
P10275	50296932	8.301
P10275	50296933	6.924
P10275	50296934	6.213
P10275	50296935	7.854
P10275	50296936	7.921
P10275	50296937	8.097
P10275	50296938	7.585
P10275	50296939	7.77
P10275	50296941	6.86
P10275	50296942	7.208
P10275	50296943	7.77
P10275	50296944	7.585
