target_uniprot_id	compound_bindingdb_id	pEC50
P10275	50068096	1
P10275	50068097	1
P10275	50068098	1
P10275	50068099	1
P10275	50068100	1
P10275	50068101	1
P10275	50435990	1
P10275	50205096	1
P10275	50205098	1
P10275	50205099	1
P10275	50205100	1
P10275	50205102	1
P10275	50205097	1
P10275	50205104	1
P10275	50205106	1
P10275	50205107	1
P10275	50205110	0
P10275	50205111	1
P10275	50205108	1
P10275	50205109	1
P10275	50205103	1
P10275	50205115	1
P10275	50205114	1
P10275	50205116	1
P10275	50205112	1
P10275	50205113	1
P10275	50219534	1
P10275	50219535	1
P10275	50219539	1
P10275	50219536	1
P10275	50219538	1
P10275	50219543	1
P10275	50219545	1
P10275	50219546	1
P10275	50219547	1
P10275	50219542	1
P10275	50219548	1
P10275	50219549	1
P10275	50219555	1
P10275	50219558	1
P10275	50219557	1
P10275	50219537	1
P10275	50219560	1
P10275	50219541	1
P10275	50219552	1
P10275	50243394	0
P10275	50145860	1
P10275	50145861	1
P10275	50145862	1
P10275	50145863	1
P10275	50367916	1
P10275	50180693	1
P10275	50180694	1
P10275	50180695	1
P10275	50180700	1
P10275	50180707	1
P10275	50180760	1
P10275	50180761	1
P10275	50180762	1
P10275	50180791	1
P10275	50180792	1
P10275	50180793	1
P10275	50180794	1
P10275	50180795	1
P10275	50180796	1
P10275	50180797	1
P10275	50180798	1
P10275	50180799	1
P10275	50180800	1
P10275	50180801	1
P10275	50180802	1
P10275	50180803	1
P10275	50180804	1
P10275	50180805	1
P10275	50180806	1
P10275	50180807	1
P10275	50180808	1
P10275	50180809	1
P10275	50180810	1
P10275	50180811	1
P10275	50180812	1
P10275	50180813	1
P10275	50180814	1
P10275	50180815	1
P10275	50180816	1
P10275	50180817	1
P10275	50180818	0
P10275	50180819	1
P10275	50180820	1
P10275	50180821	1
P10275	50180822	1
P10275	50180823	1
P10275	50180824	0
P10275	50180825	1
P10275	50180826	1
P10275	50180827	1
P10275	50180828	1
P10275	50180829	1
P10275	50180830	1
P10275	50180831	1
P10275	50180832	1
P10275	50180833	1
P10275	50296932	1
P10275	50296933	1
P10275	50296934	1
P10275	50296935	1
P10275	50296936	1
P10275	50296937	1
P10275	50296938	1
P10275	50296939	1
P10275	50296941	1
P10275	50296942	1
P10275	50296943	1
P10275	50296944	1
P10275	50296945	1
P10275	50296946	1
P10275	50296947	1
P10275	50403728	1
P10275	50403729	1
P10275	50076696	1
P10275	50076720	1
P10275	50076700	1
P10275	50077108	1
P10275	50077099	1
P10275	50336997	1
P10275	50360443	0
P10275	50366207	0
P10275	50077096	1
P10275	50077101	1
P10275	50407398	0
P10275	50425732	1
P10275	50240230	0
P10275	50240229	0
P10275	50006990	0
P10275	50242300	1
P10275	50242302	1
P10275	50238125	1
P10275	50238127	1
P10275	50242306	0
P10275	50242307	1
P10275	50242308	1
P10275	50242309	1
P10275	50242312	1
P10275	50242313	1
P10275	50242310	0
P10275	50242305	0
P10275	50242297	1
P10275	50242298	1
P10275	50242299	1
P10275	50242301	1
P10275	50242303	1
P10275	50242304	1
P10275	50373224	1
P10275	50373225	1
P10275	50373227	1
P10275	50373228	1
P10275	50373229	1
P10275	50373230	1
P10275	50373231	1
P10275	50373232	1
P10275	50373233	1
P10275	50373234	1
P10275	50373235	1
P10275	50373236	1
P10275	50373226	1
P10275	50373237	1
P10275	50373238	1
P10275	50373239	1
P10275	50373240	1
P10275	50377409	1
P10275	50377410	1
P10275	50377411	1
P10275	50377412	1
P10275	50377413	1
P10275	50377414	1
P10275	50377415	1
P10275	50377416	1
P10275	50377417	1
P10275	50377418	1
P10275	50377419	1
P10275	50377420	1
P10275	50377421	1
P10275	50377422	1
P10275	50377423	1
P10275	50377424	1
P10275	50377425	1
P10275	50377426	1
P10275	50415086	1
P10275	8885	1
P10275	50415088	1
P10275	18627	1
P10275	50067678	1
P10275	17638	1
P10275	50427619	1
P10275	50427620	1
P10275	50427621	1
P10275	50428559	0
P10275	18692	1
P00374	18245	1
P00374	18246	1
P00374	18050	1
P04150	18207	1
P04150	18615	1
P04150	18616	1
P04150	18617	1
P04150	18618	1
P04150	18619	1
P04150	18620	1
P04150	18621	1
P04150	18622	1
P04150	18623	1
P04150	18624	1
P04150	18625	1
P04150	18626	1
P04150	18627	1
P04150	18628	1
P04150	18629	1
P04150	18630	1
P04150	18631	1
P04150	18632	1
P04150	18633	1
P04150	19190	1
P04150	19191	1
P04150	19192	1
P04150	19193	1
P04150	19194	1
P04150	19195	1
P04150	19196	1
P04150	19197	1
P04150	19198	1
P04150	19199	1
P04150	19200	1
P04150	19201	1
P04150	19202	1
P04150	19203	1
P04150	19204	1
P04150	19206	1
P04150	19207	1
P04150	19208	1
P04150	19209	1
P04150	19210	1
P04150	19211	1
P04150	19212	1
P04150	19216	1
P04150	19217	1
P04150	19218	1
P04150	19219	1
P04150	19220	1
P04150	19223	1
P04150	19224	1
P04150	19225	1
P04150	19226	1
P04150	19229	1
P04150	19230	1
P04150	19231	1
P04150	19232	1
P04150	19233	1
P04150	19234	1
P04150	19235	1
P04150	19236	1
P04150	19237	1
P04150	19238	1
P04150	332659	1
P04150	332661	1
P04150	332669	1
P04150	332676	1
P04150	332677	1
P04150	332678	1
P04150	332679	1
P04150	332680	1
P04150	332681	1
P04150	332682	1
P04150	332683	1
P04150	332684	1
P04150	332685	1
P04150	332686	1
P04150	332687	1
P04150	332688	1
P04150	332689	1
P04150	332690	1
P04150	332691	1
P04150	332692	1
P04150	332693	1
P04150	332696	1
P04150	332697	1
P04150	50067678	1
P04150	50012202	0
P04150	50107350	1
P04150	50107366	1
P04150	50107365	0
P04150	50107356	1
P04150	50107347	1
P04150	50107344	1
P04150	50107359	1
P04150	50103249	1
P04150	50107355	1
P04150	50107353	1
P04150	50107357	1
P04150	50107352	1
P04150	50107358	1
P04150	50107345	1
P04150	50107354	1
P04150	50107346	1
P04150	50107364	1
P04150	50411035	1
P04150	50411030	1
P04150	50411036	1
P04150	50411048	1
P04150	50411037	1
P04150	50411026	1
P04150	50411024	1
P04150	50411047	1
P04150	50001764	1
P04150	50124605	1
P04150	50124597	1
P04150	50124596	1
P04150	50124615	1
P04150	50124593	1
P04150	50124621	1
P04150	50124594	1
P04150	50124619	1
P04150	50124613	1
P04150	50124602	1
P04150	50124606	1
P04150	50124601	1
P04150	50124604	1
P04150	50124612	1
P04150	50124599	1
P04150	50124591	1
P04150	50124609	1
P04150	50124608	1
P04150	50124620	1
P04150	50072707	1
P04150	50124607	1
P04150	50124610	1
P04150	50124595	1
P04150	50124616	1
P04150	50124611	1
P04150	50124603	1
P04150	50124600	1
P04150	50124614	1
P04150	50355735	1
P04150	50048327	1
P04150	50048328	1
P04150	50048329	1
P04150	50048330	1
P04150	50048331	1
P04150	50048332	1
P04150	50048333	1
P04150	50048334	0
P04150	50048335	1
P04150	50048336	1
P04150	50048337	1
P04150	50048338	0
P04150	50048339	1
P04150	50048340	1
P04150	50048341	1
P04150	50048342	1
P04150	50048343	1
P04150	50048344	1
P04150	50048345	1
P04150	50048346	1
P04150	50048347	1
P04150	50048348	1
P04150	50165101	1
P04150	50165102	1
P04150	50165106	1
P04150	50165105	1
P04150	50165103	1
P04150	50165104	1
P04150	50165100	1
P04150	50214923	1
P04150	50214927	1
P04150	50214922	1
P04150	50214941	1
P04150	50214919	1
P04150	50214935	1
P04150	50214928	1
P04150	50214939	1
P04150	50214933	1
P04150	50214937	1
P04150	50214948	1
P04150	50214926	1
P04150	50214932	1
P04150	50214949	1
P04150	50214929	1
P04150	50214938	1
P04150	50214918	1
P04150	50214934	1
P04150	50214945	1
P04150	50214942	1
P04150	50214930	1
P04150	50214947	1
P04150	50214943	1
P04150	50214924	1
P04150	50247194	0
P04150	50247196	0
P04150	50247195	1
P04150	50298028	0
P04150	50206899	1
P04150	50206900	1
P04150	50206901	0
P04150	50206902	1
P04150	50206940	1
P04150	50206945	1
P04150	50206946	1
P04150	50206934	1
P04150	50206954	1
P04150	50206949	1
P04150	50334052	1
P04150	50334054	1
P04150	50334055	1
P04150	50334058	1
P04150	50334048	1
P04150	50334049	1
P04150	50334050	1
P04150	50334051	1
P04150	50338324	1
P04150	50338302	1
P04150	50338303	1
P04150	50338304	1
P04150	50338305	1
P04150	50338306	1
P04150	50338307	1
P04150	50338309	1
P04150	50338310	1
P04150	50338325	1
P04150	50338311	1
P04150	50338312	1
P04150	50338313	1
P04150	50338314	1
P04150	50338315	1
P04150	50338316	1
P04150	50338317	1
P04150	50338318	1
P04150	50338319	1
P04150	50338320	1
P04150	50338321	1
P04150	50338322	1
P04150	50338323	1
P04150	50338732	1
P04150	50338733	1
P04150	50338734	1
P04150	50338735	1
P04150	50338736	1
P04150	50338738	1
P04150	50338740	1
P04150	50338741	1
P04150	50338723	1
P04150	50338725	1
P04150	50338727	1
P04150	50338728	1
P04150	50338729	1
P04150	50338730	1
P04150	50338731	1
P04150	50338737	1
P04150	50338724	1
P04150	50338726	1
P04150	50340660	1
P04150	50340661	1
P04150	50340662	1
P04150	50340663	1
P04150	50340664	1
P04150	50340665	1
P04150	50354849	1
P04150	50354850	1
P04150	50354851	1
P04150	50354852	1
P04150	50354853	1
P04150	50354854	1
P04150	50354855	1
P04150	50354856	1
P04150	50354857	1
P04150	50354858	1
P04150	50354859	1
P04150	50354860	1
P04150	50354861	1
P04150	50354862	1
P04150	50354863	1
P04150	50355715	1
P04150	50355716	1
P04150	50355717	1
P04150	50355721	1
P04150	50355722	1
P04150	50355725	1
P04150	50355726	1
P04150	50355728	1
P04150	50355729	1
P04150	50355730	1
P04150	50355732	1
P04150	50355734	1
P04150	50355736	1
P04150	50355738	1
P04150	50355739	1
P04150	50355740	1
P04150	50355741	1
P04150	50355742	1
P04150	50355745	1
P04150	50348415	1
P04150	50355749	1
P04150	50348401	1
P04150	50355733	1
P04150	50355720	0
P04150	50249150	1
P04150	50355723	1
P04150	50355731	1
P04150	50355737	1
P04150	50355724	0
P04150	50355743	1
P04150	50355746	1
P04150	50355718	0
P04150	50355719	1
P04150	50355727	1
P04150	50355744	0
P04150	50355747	1
P04150	50355748	1
P04150	50326934	1
P04150	50356036	1
P04150	50356059	1
P04150	50356060	1
P04150	50356044	1
P04150	50356046	1
P04150	50356047	1
P04150	50356048	1
P04150	50356049	1
P04150	50356050	1
P04150	50356051	1
P04150	50356054	1
P04150	50356055	1
P04150	50356056	1
P04150	50356057	1
P04150	50356058	1
P04150	50356061	1
P04150	50356063	1
P04150	50356038	1
P04150	50356042	1
P04150	50356052	0
P04150	50357083	1
P04150	50357084	1
P04150	50357085	1
P04150	50357097	1
P04150	50357096	1
P04150	50357088	1
P04150	50357087	1
P04150	50357086	1
P04150	50357098	1
P04150	50357100	1
P04150	50012201	0
P04150	50172020	1
P04150	50172023	1
P04150	50172033	1
P04150	50172022	1
P04150	50172040	0
P04150	50172025	1
P04150	50172019	1
P04150	50172035	0
P04150	50172021	1
P04150	50172024	1
P04150	50172027	1
P04150	50172030	1
P04150	50172028	1
P04150	50377346	1
P04150	50377348	1
P04150	50377349	0
P04150	50377338	1
P04150	50377350	1
P04150	50377345	0
P04150	50377340	1
P04150	50377351	1
P04150	50269240	0
P04150	50269239	0
P04150	50249106	1
P04150	50249107	1
P04150	50249142	0
P04150	50249145	0
P04150	50249192	1
P04150	50249193	1
P04150	50249194	1
P04150	50249108	0
P04150	50249109	0
P04150	50249146	1
P04150	50249147	0
P04150	50249148	1
P04150	50249149	1
P04150	50249195	1
P04150	50249196	1
P04150	50249197	0
P04150	50303832	1
P04150	50303824	1
P04150	50303826	1
P04150	50303827	1
P04150	50303828	1
P04150	50303829	1
P04150	50303830	1
P04150	50303831	1
P04150	50303810	1
P04150	50303811	1
P04150	50303812	1
P04150	50303814	1
P04150	50303816	1
P04150	50303818	1
P04150	50303820	1
P04150	50303823	1
P04150	50303806	1
P04150	50303807	1
P04150	50303808	0
P04150	50303809	0
P04150	50303813	1
P04150	50303815	1
P04150	50303819	1
P04150	50303821	1
P04150	50303822	1
P04150	50303834	0
P04150	50316561	1
P04150	50316567	1
P04150	50316562	1
P04150	50316569	1
P04150	50316566	1
P04150	50326943	1
P04150	50326945	1
P04150	50326946	1
P04150	50326949	1
P04150	50326959	1
P04150	50326957	1
P04150	50326948	1
P04150	50326958	1
P04150	53721	0
P04150	50334961	0
P04150	50334962	0
P04150	50334951	0
P04150	50334952	0
P04150	50334953	0
P04150	50334954	0
P04150	50334955	0
P04150	50334956	0
P04150	50334957	0
P04150	50334958	0
P04150	50334959	0
P04150	50348400	1
P04150	50348404	1
P04150	50348405	1
P04150	50348407	1
P04150	50348410	1
P04150	50348411	1
P04150	50348412	1
P04150	50348413	1
P04150	50348414	1
P04150	50348398	0
P04150	50348409	0
P04150	50348408	1
P04150	50153512	1
